0	七股郵局	724996
0	三地門郵局	901912
1	峽中山郵局	237934
2	郵局	237932
1	星郵局	266935
1	灣郵局	352931
1	義郵局	367919
1	芝郵局	252933
1	重中山路郵局	241900
3	興橋郵局	241905
2	二重埔郵局	241903
2	五常郵局	241910
2	介壽路郵局	241907
2	忠孝路郵局	241902
2	正義郵局	241901
2	溪尾街郵局	241904
0	下營中營郵局	735984
2	郵局	735976
0	世新大學郵局	116976
0	中原大學郵局	320956
1	和中山路郵局	235973
3	正路郵局	235976
2	南勢角郵局	235974
2	國光街郵局	235980
2	大華郵局	235981
2	宜安郵局	235979
2	民富街郵局	235978
2	泰和街郵局	235972
2	秀山郵局	235977
2	興南郵局	235992
2	連城路郵局	235975
2	郵局	235971
1	埔後庄郵局	606923
2	郵局	606921
1	壢仁美郵局	320962
2	內壢郵局	320946
2	南園郵局	320963
2	大崙郵局	320972
2	志廣郵局	320965
2	忠義郵局	320955
2	普仁郵局	320945
2	東興郵局	320960
2	環北郵局	320970
2	自立郵局	320951
2	興國郵局	320957
2	華勛郵局	320959
2	郵局	320944
2	頂壢郵局	320964
2	龍岡郵局	320948
3	東路郵局	320947
1	央大學郵局	320953
1	寮郵局	541901
2	龍安郵局	541904
1	山大學郵局	804959
1	正大學郵局	621934
1	研院郵局	115962
1	華大學郵局	300941
0	九如郵局	904931
0	二崙油車郵局	649921
2	郵局	649920
1	林萬興郵局	526942
2	郵局	526938
1	水郵局	530957
0	五峰郵局	311951
1	結二結郵局	268926
2	利澤郵局	268932
2	郵局	268930
1	股中興路郵局	248923
2	登林路郵局	248946
2	褒仔寮郵局	248922
2	郵局	248921
0	仁德二空郵局	717924
2	太子郵局	717916
2	後壁厝郵局	717945
2	車路墘郵局	717906
2	郵局	717927
1	愛萬大郵局	546932
2	霧社郵局	546929
1	武仁雄郵局	814990
2	八德郵局	814995
2	臺塑郵局	814912
2	郵局	814952
0	伸港全興郵局	509922
2	郵局	509918
0	佳冬郵局	931962
1	里中山路郵局	722998
2	佳里興郵局	722997
2	郵局	722993
0	來義郵局	922954
0	信義和社郵局	556916
2	郵局	556915
0	元長郵局	655939
0	光復郵局	976925
0	內埔學府郵局	912937
2	建興郵局	912936
2	水門郵局	912906
2	豐田郵局	912935
2	郵局	912933
2	龍泉郵局	912934
1	湖北勢湖郵局	114957
2	康寧郵局	114959
2	文德郵局	114951
2	東湖郵局	114954
2	江南郵局	114956
2	碧湖郵局	114949
2	舊宗郵局	114958
2	西湖郵局	114953
2	週美郵局	114950
2	郵局	114948
1	門郵局	845929
0	八德大湳郵局	334902
2	更寮腳郵局	334918
2	郵局	334903
2	高城郵局	334922
2	麻園郵局	334924
1	里郵局	249925
2	龍形郵局	249926
0	公館郵局	363909
2	鶴岡郵局	363910
0	六甲郵局	734977
1	腳蒜頭郵局	615939
1	龜寶來郵局	844938
2	郵局	844936
0	冬山群英郵局	269931
2	郵局	269927
0	前金郵局	801910
1	鎮科技園區郵局	806926
2	郵局	806918
0	北埔郵局	314957
1	大特區郵局	238936
1	投奇岩郵局	112944
2	實踐郵局	112939
2	尊賢郵局	112943
2	山腳郵局	112938
2	文化郵局	112941
3	林郵局	112937
2	明德郵局	112942
2	石牌郵局	112933
2	舊北投郵局	112935
2	豐年郵局	112945
2	郵局	112931
2	關渡郵局	112934
1	斗郵局	521933
1	港北辰郵局	651934
2	郵局	651932
1	門郵局	727999
0	卑南初鹿郵局	954912
0	卓蘭郵局	369937
0	南化郵局	716992
1	州郵局	926956
1	庄郵局	353934
1	投三和郵局	540900
2	中山街郵局	540906
3	興郵局	540907
2	光明里郵局	540908
2	南崗郵局	540903
2	民族路郵局	540905
1	港同德郵局	115966
2	富康郵局	115965
2	昆陽郵局	115961
2	港三郵局	115964
2	福德郵局	115968
2	軟體園區郵局	115991
2	郵局	115967
1	澳郵局	272924
0	口湖椬梧郵局	653937
2	郵局	653936
0	古坑東和郵局	646909
2	草嶺郵局	646910
2	郵局	646908
0	吉安仁里郵局	973910
2	太昌郵局	973921
2	宜昌郵局	973918
2	郵局	973908
0	名間大庄郵局	551920
2	新街郵局	551919
2	松嶺郵局	551918
2	郵局	551917
0	后里月眉郵局	421989
2	義里郵局	421988
2	郵局	421986
0	和平梨山郵局	424994
2	谷關郵局	424991
2	郵局	424997
1	美中寮郵局	508910
2	道周郵局	508961
2	郵局	508901
0	員山內城郵局	264904
1	林三橋郵局	510949
2	中正路郵局	510954
2	南門郵局	510952
2	員水路郵局	510948
2	西門郵局	510950
2	郵局	510945
0	善化中山路郵局	741914
2	成功郵局	741906
2	溪美郵局	741908
2	郵局	741904
0	嘉義中山路郵局	600901
2	保安郵局	600953
2	北社郵局	600908
2	埤子頭郵局	600920
2	大學郵局	600922
2	彌陀郵局	600918
2	後湖郵局	600915
